sub_4084D0 | UbiArt_WinMain                         | WinMain
sub_7306E0 | RegisterCallbackWithPriorityMask       | Registers a callback into a global dispatcher table based on priority flags. Checks a3 mask against stored flags (offset 4 of structure at 48 * thread_index). If match found, calls a4 (user callback) and stores result at offset 4 of sub_54BDE0() result. Uses two calls to sub_8A8C50 (likely spinlock acquire/release). Returns result of sub_54BDE0(). Used by RegisterEngineCallbacks to install engine handlers. int __stdcall RegisterCallbackWithPriorityMask(int a1, char a2, int a3, int (*a4)(void));
sub_8A1EA0 | FormatAndAppendToStringBuilder         | Initializes a string builder structure (sets flags=0xFFFFFF, zeroes pointer/capacity/length/threadId, calls SetRendererString with "Source" default), then appends a1 string and a3 string sequentially. Returns pointer to the string builder. Used by BuildURLFromConfig to construct URL strings from components. int __stdcall FormatAndAppendToStringBuilder(int a1, int a2, int a3); 
sub_8A8C50 | InitializePlatformIDTable              | Initializes a static platform identifier table (lazy initialization with flag at dword_DFC9F8). Creates platform entries: PC32 (id=0), PC64 (id=1), X360 (id=2), XONE (id=3), PS3 (id=4), PS4 (id=5), VITA (id=6), WIIU (id=7), IPAD (id=8), and sentinel entry (id=-1). Each entry has flags mask and string name. Registers atexit cleanup (sub_C44B40). Returns pointer to table base (dword_DFC818) if a1 non-null. Used for platform detection and feature flags throughout engine. _DWORD *__usercall InitializePlatformIDTable@<eax>(_DWORD *a1@<edi>);
sub_8A9230 | GetPlatformIndexFromID                 | Searches platform table for entry matching platform ID (a1). Returns index (0-based) if found, -1 if not found. Uses sub_8A8C50 to ensure table initialized, then iterates through entries (12 DWORDs per entry at offsets 0,4,8,12,16,20,24,28,32,36,40,44?). Returns position where v1 (table entry ID) equals a1. Used to map platform identifiers to array indices for per-platform configuration. int __usercall GetPlatformIndexFromID@<eax>(int a1@<esi>);
sub_54BDE0 | FindOrCreateBinaryTreeNode             | Searches binary tree rooted at a2[2] for key value *a1. If found, returns pointer to node data at offset 16 (node+4). If not found, creates new node via sub_499650 (BinaryTreeInsert), allocates 44-byte node, initializes with key, returns offset 16 of new node. Node layout: offset 0=left,4=right,8=parent,12=color,16=key (first DWORD),20=key continuation? Used by hash and resource systems for key-value storage. int __usercall FindOrCreateBinaryTreeNode@<eax>(unsigned int *a1@<edi>, _DWORD *a2@<esi>);
sub_856510 | MainSchedulerLoop                      | Primary scheduler event processing loop. Sets manual-reset event (offset 32), then enters infinite wait on auto-reset event (offset 28). When signaled, resets manual event, checks termination flag (offset 40). If terminating, processes cleanup queue (sub_855B40). If not terminating, enters critical section, processes work queue (sub_855C40), calls sub_8A8560 (likely tick update), lazily initializes resource manager (virtual method 116) if not active, then calls multiple scheduler processing functions (sub_8566D0, sub_8567E0, sub_8569B0, sub_856AB0, sub_856B00), calls engine update (sub_761C00), checks resource manager state, and processes deferred work. Sets termination event (offset 36) on exit. Core game loop driver for UbiArt Framework. BOOL __usercall MainSchedulerLoop@<eax>(int a1@<edi>);


sub_855B40 | CleanupAndDestroyTaskQueue             | Clears multiple task queues (offsets 5,7,10,12,15,17,20,22), then iterates through queue at offset 10 (4-byte entries), calling sub_8A5880 on v3+244, ReleaseEngineResource on v3+136 and v3+40, frees v3 if offset 16 is zero via UbiArt_Shutdown, then frees v3 via off_DD7198. Returns 0. Called during scheduler cleanup to destroy queued tasks and free associated resources. unsigned int __stdcall CleanupAndDestroyTaskQueue(_DWORD *a1);
sub_855C40 | MergeTaskQueuesIntoTarget              |
sub_8A8560 | TickTLSThreadContext                   |
sub_8566D0 | ProcessPendingGamepadEvents            |
sub_761C00 | CleanupExpiredTaskObjects              |
sub_8567E0 | ProcessAndRequeuePendingActions        |
sub_8569B0 | DispatchCallbacksFromQueue             |
sub_856AB0 | ProcessDeferredUpdateQueue             |
sub_856B00 | ProcessAndResetObjectFlags             |





off_DD7190 | AlignedAlloc                           | Custom aligned memory allocator Custom aligned memory allocator (AlignedAllocate) that takes size, alignment (must be power-of-two), and a third flag parameter. Allocates via off_DD6C84 (operator delete?? actually malloc-like) with extra 8-byte header storing original pointer and size. Returns aligned pointer. Used throughout engine for buffers, tree nodes (44-byte nodes alignment 32), and engine objects. Paired with off_DD7198 for deallocation.
off_DD7198 | DataAlignedFree                        | Custom aligned memory deallocator - Custom aligned memory deallocator (AlignedFree) paired with off_DD7190. Takes aligned pointer, retrieves original header from (ptr-1), calls off_DD7188 (free_0) on original pointer. Used by string functions, tree operations, and engine cleanup routines like UbiArt_Shutdown.
off_DD6C84 | operator delete                        | Standard C++ deallocation function - Points to standard C++ operator delete (??3@YAXPAX@Z). Used as the low-level deallocation function throughout engine. Called by aligned allocators AlignedAllocate and AlignedAllocateWithHeader when they need to free memory (though in those functions it's called before allocation which is odd - likely decompilation artifact shows it as allocation source). Actually appears to be the allocation source (off_DD6C84 is called with size parameter, suggesting it might be malloc despite the name). Based on pattern, this is likely the fundamental memory allocation primitive (malloc or operator new). 
off_DD7188 | free_0                                 | Standard free function - Points to a custom wrapper around free (named free_0). Used as the paired deallocation function for off_DD7190 allocations. Called by AlignedFree (AlignedFree) and AlignedReallocateWithCopy (AlignedReallocateWithCopy) to free original pointers before returning new allocations.

dword_DDF130 | ThreadLocalStorageRoot               | Global pointer to thread-local storage table. Each thread has 88-byte allocation tracking structure accessed via dword_DDF130 + 88*threadId. Structure layout: offset 8 = pool stack pointer, offset 12 = pool capacity, offset 16 = buffer storage array (255 bytes * ?), offset 40+ = allocation tracking array. Initialized during engine startup (UbiArt_InitEngineContext). Used by small buffer pool and allocation tracking systems. Critical for thread-safe memory management without locks for same-thread allocations.
